No,Type
2301,C
2302,C
2303,D
2304,D
2305,D
2306,D
2307,D
2308,B
2309,D
2310,B
2311,B
2312,B
2313,B
2314,B
2315,B
2316,D
2317,D
2318,D
2319,D
2320,D
2321,D
2322,D
2323,D
2324,D
2325,D
2326,D
2327,D
2328,D
2329,D
2330,D
2331,D
2332,D
2333,D
2334,D
2335,D
2336,D
2337,D
2338,D
2339,D
2340,D
2341,D
2342,A
2343,A
2344,D
2345,A
2346,D
2347,B
2348,B
2349,D
2350,D
2351,D
2352,D
2353,D
2354,D
2355,D
2356,D
2357,D
2358,D
2359,D
2360,D
2361,D
2362,D
2363,B
2364,B
2365,B
2366,B
2367,B
2368,B
2369,B
2370,D
2371,D
2372,D
2373,D
2374,D
2375,D
2376,D
2377,D
2378,D
2379,D
2380,D
2381,D
2382,D
2383,D
2384,B
2385,D
2386,D
2387,D
2388,D
2389,D
2390,D
2391,D
2392,D
2393,D
2394,D
2395,D
2396,D
2397,D
2398,D
2399,D
2400,D
2401,A
2402,A
2403,A
2404,A
2405,A
2406,B
2407,B
2408,B
2409,B
2410,B
2411,B
2412,A
2413,A
2414,D
2415,A
2416,D
2417,A
2418,A
2419,A
2420,C
2421,C
2422,D
2423,D
2424,D
2425,D
2426,D
2427,D
2428,D
2429,D
2430,D
2431,D
2432,D
2433,D
2434,D
2435,A
2436,A
2437,A
2438,A
2439,A
2440,A
2441,B
2442,B
2443,B
2444,B
2445,D
2446,D
2447,D
2448,D
2449,D
2450,D
2451,D
2452,D
2453,D
2454,D
2455,D
2456,D
2458,D
2459,D
2460,D
2461,D
2462,D
2463,D
2464,B
2465,B
2466,B
2467,B
2468,B
2469,B
2470,B
2471,A
2472,A
2473,A
2474,A
2475,D
2476,D
2477,D
2478,D
2479,D
2480,D
2481,D
2482,D
2483,D
2484,D
2485,A
2486,A
2487,B
2488,B
2489,B
2490,B
2491,A
2492,A
2493,A
2494,A
2495,A
2496,A
2497,A
2498,A
2499,A
2500,B
2501,A
2502,A
2503,A
2504,A
2505,A
2506,A
2507,A
2508,A
2509,A
2510,A
2511,A
2512,A
2513,A
15245,A
15246,A
15247,A
15248,A
15249,A
15250,A
15251,A
15252,A
15253,A
15254,A
15255,A
15256,A
15257,A
15258,A
15259,A
15260,A
15261,A
15262,A
15263,D
15264,D
15265,D
15266,D
15267,A
15268,A
15269,D
15270,D
15271,C
15272,C
15273,C
15274,A
15275,A
15276,C
15277,C
15278,C
15279,C
15280,D
15281,A
15282,A
15283,A
15284,B
15285,A
15286,A
15287,A
15288,A
15289,D
15290,A
15291,D
15292,D
15293,D
15294,D
15295,D
15296,D
15297,C
15298,C
15299,C
15300,C
15301,C
15302,C
15303,C
15304,B
15305,D
15306,A
15307,D
15308,D
15309,D
15310,D
15311,D
15312,A
15313,A
15314,D
15315,D
15316,B
15317,B
15318,B
15319,D
15320,D
15321,B
15322,B
15323,B
15324,D
15325,D
15326,A
15327,A
15328,A
15329,A
15330,A
15331,D
15332,A
15333,A
15334,A
15335,A
15336,A
15337,D
15338,D
15339,D
15340,D
15341,D
15342,A
15343,A
15344,A
15345,A
15346,A
15347,A
15348,A
15349,A
15350,A
15351,A
15352,A
15353,A
15354,A
15355,A
15356,A
15357,A
15358,A
15359,A
15360,A
15361,A
15362,B
15363,B
15364,B
15365,B
15366,B
15367,B
15368,B
15369,B
15370,B
15371,B
15372,B
15373,B
15374,B
15375,B
15376,B
15377,D
15378,C
15379,D
15380,D
15381,D
15382,D
15383,C
15384,C
15385,C
15386,A
15387,A
15388,A
15389,A
15390,A
15391,D
15392,D
15393,D
15394,D
15395,C
15396,D
15397,C
15398,D
15399,D
15400,A
15401,A
15402,A
15403,A
15404,A
15405,A
15406,A
15407,D
15408,C
15409,C
15410,C
15411,C
15412,A
15413,A
15414,A
15415,A
48057,A
48058,A
48059,A
48060,A
48061,A
48062,A
48063,A
48064,A
48065,A
48066,A
48067,D
48068,D
48069,B
48070,B
48071,B
48072,B
48073,B
48074,B
48075,B
48076,B
48077,D
48078,D
48079,D
48080,D
48081,D
48091,D
48092,D
48093,D
48094,D
48095,D
48096,D
48097,D
48111,C
48112,C
48113,C
48114,C
48115,C
48116,C
48117,D
48118,D
48119,D
48120,D
48121,D
48122,D
48123,D
48124,D
48125,D
48126,D
48127,D
48128,D
48129,C
48130,C
48131,C
48132,C
48133,C
48134,D
48135,D
48136,D
48137,D
48138,D
48139,A
48140,D
48141,D
48142,A
48143,A
48144,A
48145,A
48146,A
48147,A
48148,D
48149,A
48150,A
48151,A
48152,A
48153,A
48154,A
48155,A
48156,A
48157,D
48158,D
48159,D
48160,D
48161,D
48162,D
48163,D
48164,D
48165,D
48166,D
48167,D
48168,D
48169,D
48170,D
48171,D
48172,D
48173,D
48174,D
48175,A
48176,A
48177,D
48178,D
48179,D
48180,A
48181,D
48182,D
48183,D
48184,D
48185,D
48186,D
48187,D
48188,D
48189,D
48190,D
48191,D
48192,D
48193,D
48194,D
48195,D
48196,A
48197,A
48198,A
48199,A
48200,A
48201,A
48202,D
48203,D
48204,D
48205,D
48206,D
48207,D
48208,B
48209,B
48210,B
48211,B
48212,B
48213,B
48214,B
48215,B
48216,B
48217,D
48218,D
48219,D
48220,D
48221,D
48222,D
48223,D
48224,A
48225,D
48226,D
48227,B
48228,B
48229,B
48230,B
48231,B
48232,B
48233,B
48234,B
48235,B
48236,B
48237,B
48238,B
48239,B
48240,B
48241,B
48242,B
48243,B
48244,B
48245,D
48246,D
48247,D
48248,D
48249,C
48250,C
48251,C
48252,C
48253,C
48254,C
48255,C
48256,C
48257,C
48258,C
48259,C
48260,C
48261,C
48262,C
48263,C
48264,C
48265,B
48266,B
48267,D
48268,D
48269,D
48270,B
48271,D
48272,D
48273,D
48274,D
48275,D
48276,D
48277,D
48278,D
48279,D
48280,B
48281,B
48282,D
48283,C
48284,C
48285,C
48286,C
48287,C
48288,C
48289,C
48290,C
48291,C
48292,C
48293,C
48294,D
48295,D
48296,D
48297,D
48298,D
48299,D
48300,D
48301,B
48302,D
48303,D
48304,D
48305,D
48306,D
48307,D
48308,D
48309,D
48310,D
48311,D
48312,D
48313,D
48314,D
48315,D
48316,D
48317,B
48318,C
48319,A
48320,D
48321,A
48322,A
48323,B
48324,B
48325,A
48326,A
48327,A
48328,A
48329,A
48330,A
48331,A
48332,A
48333,D
48334,D
48335,D
48336,D
48337,A
48338,A
48339,A
48340,D
48341,B
48342,B
48343,B
48344,B
48345,B
48346,B
48347,B
48348,B
48349,B
48350,B
48351,D
48353,D
48354,D
48355,D
48356,D
48357,B
48358,D
48359,D
48360,D
48361,B
48362,B
48363,B
48364,B
48365,B
48366,B
48367,B
48368,B
48369,B
48370,D
48371,D
48372,D
48373,D
48374,D
48375,D
48376,B
48377,B
48378,B
48379,B
48380,B
48381,B
48382,B
48383,B
48384,B
48385,B
48386,B
48387,B
48388,B
48389,C
48390,C
48391,C
48392,C
48393,C
48394,C
48395,B
48396,B
48397,A
48398,A
48399,B
48400,B
48401,A
48402,A
48403,C
48404,C
48405,C
48406,C
48407,C
48408,C
48409,B
48410,B
48411,B
48412,B
48413,C
48414,C
48415,C
48416,B
48417,B
48418,B
48419,B
48420,B
48421,B
48422,B
48423,B
48424,B
48425,B
48426,B
48427,B
48428,D
48429,B
48430,B
48431,A
48432,A
48433,A
48434,A
48435,A
48436,A
48437,A
48438,A
48439,A
48440,A
48441,D
48442,A
48443,A
48444,A
48445,A
48446,A
48447,A
48448,A
48449,A
48450,A
48451,A
48452,A
48453,A
48454,D
48455,A
48456,D
48457,D
48458,D
48459,D
48460,B
48461,A
48462,B
48463,B
48464,B
48465,B
48466,B
48467,B
48468,B
48469,D
48470,D
48471,D
48472,D
48473,D
48474,A
48475,A
48476,B
48477,D
48478,B
48479,A
48480,A
48481,A
48482,A
48483,A
48484,A
48485,A
48486,A
48487,C
48488,C
48489,C
48490,C
48491,C
48492,C
48493,C
48494,C
48495,C
48496,B
48497,B
48498,B
48499,B
48500,B
48501,B
48502,B
48503,B
48504,D
48505,D
48506,D
48507,D
48508,D
48509,D
48510,D
48511,D
48512,D
48513,D
48514,D
48515,D
48516,C
48517,C
48518,C
48519,C
48520,C
48521,C
48522,C
48523,C
48524,C
48525,C
48526,C
48527,C
48528,C
48529,C
48530,C
48531,C
48532,C
48533,B
48534,B
48535,B
48536,B
48537,B
48538,B
48539,B
48540,A
48541,A
48542,A
48543,A
48544,D
48545,D
48546,D
48547,D
48548,D
48549,D
48550,C
48551,C
48552,C
48553,B
48554,B
48555,B
48556,C
48557,C
48558,C
48559,C
48560,C
48561,C
48562,B
48563,B
48564,B
48565,B
48566,A
48567,D
48568,A
48569,A
48570,A
48571,C
48572,A
48573,D
48574,D
48575,C
48576,C
48577,C
48578,C
48579,C
48580,C
48581,C
48582,C
48583,D
48584,D
48585,D
48586,D
48587,C
48588,C
48589,C
48590,C
48591,C
48592,C
48593,C
48594,C
48595,C
48596,C
48597,C
48598,D
48599,C
48600,C
48601,C
48602,C
48603,C
48604,B
48605,D
48606,D
48607,D
48608,D
48609,D
48610,D
48611,D
48612,D
48613,D
48614,D
48615,D
48616,A
48617,D
48618,D
48619,B
48620,A
48621,D
48622,D
48623,D
48624,D
48625,D
48626,D
48627,A
48628,A
48629,A
48630,A
48631,D
48632,D
48633,D
48634,D
48635,D
48636,D
48637,B
48638,D
48639,D
48640,D
48641,D
48642,D
48643,D
48644,D
48645,D
48646,D
48647,D
48648,D
48649,D
48650,D
48651,D
48652,D
48653,D
48654,D
48655,D
48656,A
48657,A
48658,A
48659,A
48660,A
48661,A
48662,A
48663,D
48664,A
48665,D
48666,D
48667,C
48668,A
48669,D
48670,D
48671,A
48672,A
48673,C
48674,C
48675,A
48676,C
48677,C
48678,A
48679,A
48680,D
48681,D
48682,D
48683,B
48685,C
48686,C
48687,C
48688,D
48689,D
48690,B
48691,D
48692,A
48693,B
48694,B
48695,A
48696,A
48697,A
48698,D
48699,D
48700,C
48701,C
48702,A
48703,B
48704,B
48705,B
48706,B
48707,B
48708,B
48709,B
48710,B
48711,B
48712,B
48713,B
48714,B
48715,B
48716,D
48717,B
48718,A
48719,A
48720,A
48721,B
48722,B
48723,B
48724,B
48725,B
48726,B
48727,B
48728,C
48729,C
48730,B
48731,C
48732,B
48733,A
48734,B
48735,A
48736,A
48737,A
48738,A
48739,A
48740,A
48741,D
48742,B
48743,C
48744,C
48745,B
48746,B
48747,B
48748,B
48749,B
48750,D
48751,D
48752,D
48753,D
48754,C
48755,C
48756,C
48757,C
48758,D
48759,D
48760,C
48761,C
48762,D
48763,A
48764,A
48765,B
48766,A
48767,A
48768,A
48769,B
48770,D
48771,D
48772,D
48773,B
48774,B
48775,B
48776,B
48777,B
48778,D
48779,C
48780,C
48781,C
48782,B
48783,B
48784,B
48785,B
48786,B
48787,B
48788,C
48789,C
48790,C
48791,C
48792,C
48793,C
48794,C
48795,B
48796,B
48797,B
48798,B
48799,B
48800,B
48801,D
48802,D
48803,D
48804,C
48805,C
48806,D
48807,D
48808,C
48809,C
48810,C
48811,D
48812,D
48813,D
48814,D
48815,A
48816,C
48817,D
48818,D
48819,D
48820,D
48821,D
48822,A
48823,D
48824,A
48825,A
48826,A
48827,B
48828,A
48829,A
48830,A
48831,A
48832,A
48833,C
48834,B
48835,B
48836,B
48837,B
48838,B
48839,B
48840,B
48841,B
48842,B
48843,B
48844,B
