ID,Category
107,[1 0 0 0]
108,[1 0 0 0]
109,[1 0 0 0]
110,[1 0 0 0]
111,[1 0 0 0]
112,[1 0 0 0]
113,[1 0 0 0]
114,[1 0 0 0]
115,[0 0 0 0]
116,[1 0 0 0]
117,[0 0 0 1]
118,[0 0 0 1]
119,[1 0 0 0]
120,[0 0 0 0]
121,[1 0 0 0]
122,[1 0 0 0]
123,[1 0 0 1]
124,[0 0 0 1]
125,[0 0 0 1]
126,[0 0 1 0]
127,[0 0 1 0]
128,[0 0 0 1]
129,[0 0 0 1]
130,[0 0 0 1]
131,[1 0 0 0]
132,[1 0 0 0]
133,[1 0 0 0]
134,[0 0 0 0]
135,[1 0 0 0]
136,[0 0 0 0]
137,[1 0 1 0]
138,[0 0 0 0]
139,[0 1 0 0]
140,[1 0 0 0]
141,[1 0 0 0]
142,[0 0 0 0]
143,[0 0 0 1]
144,[0 0 0 0]
145,[0 0 0 1]
146,[0 0 0 1]
147,[0 0 0 1]
148,[0 1 0 0]
149,[1 0 0 0]
150,[1 0 0 0]
151,[1 0 0 0]
152,[1 0 0 0]
153,[1 1 0 0]
154,[1 0 0 0]
155,[1 0 0 0]
156,[1 0 0 0]
157,[1 0 0 0]
158,[1 0 1 0]
159,[0 1 0 0]
160,[1 0 1 0]
161,[1 0 0 0]
162,[0 1 0 0]
163,[1 0 0 0]
164,[0 0 0 0]
165,[1 0 0 0]
166,[1 0 0 0]
167,[1 0 0 0]
168,[1 0 0 0]
169,[0 0 0 1]
170,[0 1 0 0]
171,[1 0 0 0]
172,[0 1 0 0]
173,[0 0 1 0]
174,[0 0 1 0]
175,[0 0 0 1]
176,[1 0 0 0]
177,[0 0 0 0]
178,[0 0 0 1]
179,[0 0 0 1]
180,[0 0 0 1]
181,[0 0 1 0]
182,[0 0 0 1]
183,[1 0 0 0]
184,[1 0 0 0]
185,[0 0 0 1]
186,[1 0 0 0]
187,[1 0 0 0]
188,[1 0 0 0]
189,[1 0 0 0]
190,[0 0 1 0]
191,[0 0 0 0]
192,[0 0 1 0]
193,[1 0 0 0]
194,[0 0 1 0]
195,[1 0 0 0]
196,[1 0 0 0]
197,[1 0 0 0]
198,[0 0 1 0]
199,[0 0 0 1]
200,[0 0 0 1]
201,[0 0 0 1]
202,[0 0 0 0]
203,[0 0 0 1]
204,[1 0 0 0]
205,[0 0 1 0]
206,[1 0 0 0]
207,[0 0 0 1]
208,[1 0 0 0]
209,[1 0 0 0]
210,[1 0 0 0]
211,[1 0 0 0]
212,[0 1 0 0]
213,[0 0 0 1]
214,[0 0 0 1]
215,[0 0 0 1]
216,[0 0 0 1]
217,[0 0 0 1]
218,[0 0 0 1]
219,[0 0 0 1]
220,[0 0 0 1]
221,[0 0 0 1]
222,[0 0 0 1]
223,[0 0 0 1]
224,[0 0 0 1]
225,[0 1 0 0]
226,[0 0 0 1]
227,[0 0 0 1]
228,[0 0 0 1]
229,[0 0 0 1]
230,[1 0 0 0]
231,[0 0 0 1]
232,[0 0 0 1]
233,[0 0 0 1]
234,[0 0 0 1]
235,[0 0 0 1]
236,[0 0 0 1]
237,[0 0 0 1]
238,[0 0 0 1]
239,[0 1 0 0]
240,[0 1 0 0]
241,[0 1 0 0]
242,[1 0 0 0]
243,[1 0 0 0]
244,[0 0 0 1]
245,[1 0 0 0]
246,[0 0 0 1]
247,[1 0 0 0]
248,[0 0 1 0]
249,[0 0 0 0]
250,[0 0 0 1]
251,[0 0 0 1]
252,[1 0 0 0]
253,[0 1 0 0]
254,[0 0 0 1]
255,[0 0 0 1]
256,[0 0 0 0]
257,[0 0 0 1]
258,[1 1 0 0]
259,[0 0 1 0]
260,[0 1 0 0]
261,[0 0 0 0]
262,[0 0 0 0]
263,[0 0 0 1]
264,[1 0 0 0]
265,[1 0 0 0]
266,[0 1 0 0]
267,[0 0 0 1]
268,[0 0 0 0]
269,[1 0 0 0]
270,[0 1 0 0]
271,[0 0 0 1]
272,[0 0 0 1]
273,[0 0 0 1]
274,[0 0 0 1]
275,[0 0 0 1]
276,[1 1 0 0]
277,[1 0 0 0]
278,[1 0 0 0]
279,[0 1 0 0]
280,[0 1 0 0]
281,[0 1 0 0]
282,[1 0 0 0]
283,[1 0 0 0]
284,[0 1 0 0]
285,[0 1 0 0]
286,[0 0 0 0]
287,[1 0 0 0]
288,[1 0 0 0]
289,[1 0 0 0]
290,[1 0 0 0]
291,[0 0 0 0]
292,[0 1 0 0]
293,[1 1 0 0]
294,[0 1 0 0]
295,[0 1 0 0]
296,[0 1 0 0]
297,[1 1 0 0]
298,[0 1 0 0]
299,[0 1 1 0]
300,[0 1 1 0]
301,[0 0 0 1]
302,[1 0 0 0]
303,[0 1 0 0]
304,[0 1 0 0]
305,[1 0 0 0]
306,[1 0 0 0]
307,[0 0 0 0]
308,[1 0 0 0]
309,[1 0 0 0]
310,[1 0 0 0]
311,[1 0 0 0]
312,[1 0 0 0]
313,[1 0 0 0]
314,[0 1 1 0]
315,[1 0 0 0]
316,[1 0 0 0]
317,[1 0 0 0]
318,[1 1 0 0]
319,[1 0 0 0]
320,[1 0 0 0]
321,[1 0 0 0]
322,[0 1 0 0]
323,[0 1 0 0]
324,[0 1 0 0]
325,[0 0 1 0]
326,[0 0 0 1]
327,[0 0 0 1]
328,[0 0 0 1]
329,[0 0 0 1]
330,[0 0 0 1]
331,[0 0 0 1]
332,[0 0 0 1]
333,[0 0 0 1]
334,[1 0 0 0]
335,[0 0 0 1]
336,[0 1 0 0]
337,[0 0 1 0]
338,[0 0 0 1]
339,[0 0 0 0]
340,[0 1 0 1]
341,[0 0 0 1]
342,[0 0 0 1]
343,[0 0 0 1]
344,[1 0 0 0]
345,[1 0 0 0]
346,[1 0 0 0]
347,[1 0 0 0]
348,[0 0 1 0]
349,[1 0 0 0]
350,[1 0 0 0]
351,[1 0 0 0]
352,[1 0 0 0]
353,[1 0 0 0]
354,[1 0 0 0]
355,[1 0 0 0]
356,[1 0 0 0]
357,[1 0 0 0]
358,[0 1 0 0]
359,[0 0 0 0]
360,[0 1 0 0]
361,[0 1 0 0]
362,[0 1 0 0]
363,[1 0 0 0]
364,[1 0 0 0]
365,[1 0 0 0]
366,[0 0 0 1]
367,[0 0 0 1]
368,[1 0 0 0]
369,[0 1 0 1]
370,[0 0 0 1]
371,[0 0 0 1]
372,[0 1 0 0]
373,[0 0 0 1]
374,[1 0 0 0]
375,[0 1 0 0]
376,[0 0 0 1]
377,[1 0 0 1]
378,[0 0 0 1]
379,[0 0 0 1]
380,[0 0 0 1]
381,[0 0 0 1]
382,[0 0 0 1]
383,[0 0 0 1]
384,[0 0 0 1]
385,[0 0 0 1]
386,[1 0 0 0]
387,[1 0 0 0]
388,[1 0 0 0]
389,[1 0 0 0]
390,[0 0 0 1]
391,[1 0 0 0]
392,[0 0 0 0]
393,[0 0 0 1]
394,[0 0 0 1]
395,[1 0 0 0]
396,[1 0 0 0]
397,[1 0 0 0]
398,[1 0 0 0]
399,[0 0 0 1]
400,[0 1 0 0]
401,[0 0 0 1]
402,[0 0 0 1]
403,[0 0 1 0]
404,[1 0 0 0]
405,[0 0 0 1]
406,[0 0 0 1]
407,[0 0 0 1]
408,[0 0 0 1]
409,[0 0 0 1]
410,[0 0 0 1]
411,[0 0 0 0]
412,[1 0 0 0]
413,[1 0 0 0]
414,[1 0 0 0]
415,[1 0 0 0]
416,[0 0 1 0]
417,[0 0 1 0]
418,[0 0 1 0]
419,[0 0 0 1]
420,[0 1 0 0]
421,[1 0 0 0]
422,[0 1 0 0]
423,[1 0 0 0]
424,[1 1 0 0]
425,[0 0 1 0]
426,[1 0 0 0]
427,[1 1 0 0]
428,[1 1 0 0]
429,[0 1 0 0]
430,[0 0 1 0]
431,[1 0 0 0]
432,[0 0 1 0]
433,[0 0 0 1]
434,[1 0 0 0]
435,[1 0 0 0]
436,[0 0 1 0]
437,[1 0 0 0]
438,[1 0 0 0]
439,[0 1 0 0]
440,[1 0 0 0]
441,[1 0 0 0]
442,[1 0 0 0]
443,[0 0 0 1]
444,[0 0 0 1]
445,[0 1 0 0]
446,[0 0 1 0]
447,[0 0 1 0]
448,[0 0 1 0]
449,[0 0 0 1]
450,[0 0 0 1]
451,[0 0 0 1]
452,[1 0 0 0]
453,[1 0 0 0]
454,[1 0 0 0]
455,[1 0 0 0]
456,[1 0 0 0]
457,[1 0 0 0]
458,[1 0 0 0]
459,[1 0 0 0]
460,[1 0 0 0]
461,[1 0 0 0]
462,[1 0 0 0]
463,[1 0 0 0]
464,[0 0 0 1]
465,[0 0 0 1]
466,[1 0 0 0]
467,[0 0 0 1]
468,[0 0 0 1]
469,[0 0 0 1]
470,[0 0 1 0]
471,[0 0 0 1]
472,[0 0 0 1]
473,[1 0 0 0]
474,[1 0 0 0]
475,[0 0 0 1]
476,[0 0 0 1]
477,[0 0 0 1]
478,[0 0 0 1]
479,[0 0 0 1]
480,[1 0 0 0]
481,[0 0 1 0]
482,[1 0 0 0]
483,[0 0 0 0]
484,[1 0 0 0]
485,[1 0 0 0]
486,[1 0 0 0]
487,[1 0 0 0]
488,[1 0 0 0]
489,[0 0 0 0]
490,[1 0 0 0]
491,[0 0 0 1]
492,[0 0 0 0]
493,[1 0 0 0]
494,[1 0 0 0]
495,[0 1 0 0]
496,[1 0 0 1]
497,[0 0 1 0]
498,[0 0 1 0]
499,[0 0 1 0]
500,[0 1 0 0]
501,[1 0 0 0]
502,[1 0 0 0]
503,[0 0 0 0]
504,[0 1 0 0]
505,[1 0 0 0]
506,[1 0 0 0]
507,[1 0 0 0]
508,[0 0 0 1]
509,[0 0 0 1]
510,[0 0 0 1]
511,[0 0 0 1]
512,[0 1 0 0]
513,[0 0 0 0]
514,[0 1 0 0]
515,[0 0 0 1]
516,[1 0 0 0]
517,[0 0 0 1]
518,[0 1 0 0]
519,[0 1 0 0]
520,[1 0 0 0]
521,[0 1 0 0]
522,[0 0 0 1]
523,[1 0 0 0]
524,[1 0 0 0]
525,[0 1 1 0]
526,[0 1 0 0]
527,[1 1 0 0]
528,[0 1 0 0]
529,[1 0 0 0]
530,[0 0 0 0]
531,[0 0 1 1]
532,[0 0 1 0]
533,[1 0 0 0]
534,[1 0 0 0]
535,[1 0 0 0]
536,[0 0 0 1]
537,[1 0 0 0]
538,[0 0 0 1]
539,[0 0 0 1]
540,[1 0 0 0]
541,[1 0 0 0]
542,[1 0 0 0]
543,[1 0 0 0]
544,[1 0 0 1]
545,[1 0 0 0]
546,[1 0 0 0]
547,[0 0 0 1]
548,[0 0 0 1]
549,[0 0 0 0]
550,[0 1 0 0]
551,[0 0 0 1]
552,[0 0 0 1]
553,[1 0 1 0]
554,[1 0 0 0]
555,[1 1 0 0]
556,[0 0 0 1]
557,[1 0 0 0]
558,[0 0 1 0]
559,[0 0 0 1]
560,[0 0 0 1]
561,[0 1 0 0]
562,[1 0 0 0]
563,[0 1 0 0]
564,[0 1 0 0]
565,[0 1 1 0]
566,[0 1 1 0]
567,[0 0 1 0]
568,[0 0 0 1]
569,[0 0 0 0]
570,[0 0 0 1]
571,[1 0 0 0]
572,[1 0 0 0]
573,[1 0 0 0]
574,[1 0 0 0]
575,[0 0 0 1]
576,[1 1 0 0]
577,[1 0 0 0]
578,[1 1 0 0]
579,[1 1 0 0]
580,[0 0 0 1]
582,[0 0 0 1]
583,[0 0 0 1]
584,[1 0 0 0]
585,[0 0 1 0]
586,[0 1 0 0]
587,[0 1 0 0]
588,[0 1 0 0]
589,[0 1 0 1]
590,[0 1 0 1]
591,[0 0 0 1]
592,[0 0 1 0]
593,[0 0 0 1]
594,[1 0 0 0]
595,[0 1 0 1]
596,[0 1 0 0]
597,[0 0 0 1]
598,[1 0 0 0]
599,[1 0 0 0]
600,[0 0 0 1]
601,[0 0 0 1]
602,[0 1 0 0]
603,[0 1 0 0]
604,[0 0 0 1]
605,[1 0 0 0]
606,[0 1 0 0]
607,[1 0 0 0]
608,[1 0 0 0]
609,[1 0 0 0]
610,[0 1 0 0]
611,[0 1 0 0]
612,[0 0 0 1]
613,[0 1 0 0]
614,[0 1 0 0]
615,[0 0 0 1]
616,[0 0 0 1]
617,[0 0 0 1]
618,[0 0 0 1]
619,[0 0 0 1]
620,[0 0 0 1]
621,[1 0 0 0]
622,[1 1 0 0]
623,[1 0 0 0]
624,[1 0 0 0]
625,[1 0 0 0]
626,[0 0 0 1]
627,[1 0 0 0]
628,[0 0 0 0]
629,[1 0 0 0]
630,[1 0 0 0]
631,[1 0 0 0]
632,[1 0 0 0]
633,[1 0 0 0]
634,[1 0 0 0]
635,[1 0 0 0]
636,[0 0 0 0]
637,[1 0 0 0]
638,[0 0 1 0]
639,[0 0 0 0]
640,[0 1 0 0]
641,[0 1 0 0]
642,[0 1 0 0]
643,[0 1 0 0]
644,[0 0 0 0]
645,[1 0 0 0]
646,[1 1 0 0]
647,[1 0 0 0]
648,[1 0 0 0]
649,[0 1 0 0]
650,[1 1 0 0]
651,[1 0 0 1]
652,[0 1 0 0]
653,[0 1 0 0]
654,[1 0 0 0]
655,[1 1 0 0]
656,[1 0 0 0]
657,[0 1 0 0]
658,[0 1 0 0]
659,[1 0 0 0]
660,[0 1 0 0]
661,[0 0 0 1]
662,[1 0 0 0]
663,[0 0 0 1]
664,[0 0 0 1]
665,[0 0 0 1]
666,[0 0 0 1]
667,[0 1 0 0]
668,[1 1 0 0]
669,[0 0 0 0]
670,[0 1 0 0]
671,[1 0 0 0]
672,[0 0 0 1]
673,[0 0 0 1]
674,[0 0 0 1]
675,[0 1 1 0]
676,[1 0 0 0]
677,[0 1 1 0]
678,[1 0 0 0]
679,[0 1 0 1]
680,[0 0 0 1]
681,[0 0 0 1]
682,[1 0 0 0]
683,[0 0 0 1]
684,[0 1 0 0]
685,[0 0 1 0]
686,[0 1 0 0]
687,[0 1 0 0]
688,[0 1 0 0]
689,[0 0 0 1]
690,[0 0 1 0]
691,[1 0 0 1]
692,[1 0 0 0]
693,[1 0 0 0]
694,[0 1 1 0]
695,[0 1 1 0]
696,[0 1 0 0]
697,[0 0 0 1]
698,[0 0 0 1]
699,[0 1 0 0]
700,[0 0 0 1]
701,[0 0 0 1]
702,[1 0 0 0]
703,[0 0 1 0]
704,[1 0 0 0]
705,[0 0 0 1]
706,[0 0 0 1]
707,[0 0 0 1]
708,[0 0 0 1]
709,[1 0 0 0]
710,[1 0 0 0]
711,[1 0 0 0]
712,[1 0 0 0]
713,[1 0 0 0]
714,[1 0 0 0]
715,[1 0 0 0]
716,[0 1 0 0]
717,[1 0 0 1]
718,[1 0 0 0]
719,[1 0 0 0]
720,[1 0 0 0]
721,[1 0 0 0]
722,[1 0 0 0]
723,[1 0 0 1]
724,[1 0 0 0]
725,[1 0 0 0]
726,[1 0 0 0]
727,[1 0 0 0]
728,[1 1 0 0]
729,[1 0 0 0]
730,[0 1 0 0]
731,[1 0 0 0]
732,[1 0 0 0]
733,[1 0 0 0]
734,[0 0 0 1]
735,[1 1 0 0]
736,[0 0 0 1]
737,[1 0 0 0]
738,[1 0 0 0]
739,[0 0 1 0]
740,[1 0 0 0]
741,[0 0 0 1]
742,[1 0 0 0]
743,[1 1 0 0]
744,[1 0 0 0]
745,[1 0 0 0]
746,[1 0 0 0]
747,[0 0 0 1]
748,[1 0 1 0]
749,[0 0 0 1]
750,[0 0 0 1]
751,[0 0 0 1]
752,[0 0 1 0]
753,[0 0 0 0]
754,[0 0 0 1]
755,[1 0 0 0]
756,[1 0 0 0]
757,[0 0 0 1]
758,[0 0 0 1]
759,[1 0 1 0]
760,[0 0 0 1]
761,[0 0 0 1]
762,[1 0 0 0]
763,[0 0 0 1]
764,[0 0 0 1]
765,[0 0 0 1]
766,[0 0 0 1]
767,[0 0 0 1]
768,[0 0 0 1]
769,[0 0 1 0]
770,[0 0 0 1]
771,[0 0 0 1]
772,[0 0 0 1]
773,[0 0 0 1]
774,[0 0 0 1]
775,[0 0 0 1]
776,[0 0 0 1]
777,[0 0 0 0]
778,[0 0 0 1]
779,[1 0 0 0]
780,[1 1 0 0]
781,[0 1 0 0]
782,[0 0 0 0]
783,[0 0 0 0]
784,[0 0 0 1]
785,[0 0 0 1]
786,[0 1 0 0]
787,[0 0 0 1]
788,[0 0 0 1]
789,[0 0 1 0]
790,[0 0 0 1]
791,[0 0 0 1]
792,[0 0 0 1]
793,[0 0 0 1]
794,[0 0 0 1]
795,[0 0 0 1]
796,[0 1 0 0]
797,[0 0 0 1]
798,[0 0 0 1]
799,[1 0 0 1]
800,[0 0 0 1]
801,[0 0 0 1]
802,[0 0 0 1]
803,[0 0 0 0]
804,[0 0 0 1]
805,[1 0 0 0]
806,[0 0 0 1]
807,[0 0 0 1]
808,[0 0 0 1]
809,[1 0 0 0]
810,[0 0 0 1]
811,[0 1 0 0]
812,[1 0 0 0]
813,[0 1 0 0]
814,[0 0 0 1]
815,[1 0 0 0]
816,[0 0 1 0]
817,[1 0 0 0]
818,[0 0 0 1]
819,[0 0 0 1]
820,[0 0 0 1]
821,[0 0 0 1]
822,[1 0 0 0]
823,[0 1 0 0]
824,[1 0 0 0]
825,[1 0 0 0]
826,[0 0 0 1]
827,[1 0 0 0]
828,[1 0 0 0]
829,[1 0 0 0]
830,[1 0 0 0]
831,[1 0 0 0]
832,[1 0 0 0]
833,[0 0 0 1]
834,[1 0 0 0]
835,[1 0 0 0]
836,[1 0 0 0]
837,[0 0 0 1]
838,[1 0 0 0]
839,[1 0 0 0]
840,[0 0 0 0]
841,[1 0 0 0]
842,[0 1 0 0]
843,[0 1 0 0]
844,[1 0 0 0]
845,[1 0 0 0]
846,[1 0 0 0]
847,[0 1 0 0]
848,[0 0 0 1]
849,[1 0 0 0]
850,[1 0 0 0]
851,[0 1 0 0]
852,[1 0 0 0]
853,[1 0 0 0]
854,[1 0 0 0]
855,[1 0 0 0]
856,[0 0 0 1]
857,[0 0 0 1]
858,[1 0 0 0]
859,[0 1 0 0]
860,[1 0 0 0]
861,[0 1 0 0]
862,[0 0 0 1]
863,[0 0 0 1]
864,[0 1 0 0]
865,[1 0 0 0]
866,[1 0 0 0]
867,[1 0 0 0]
868,[1 0 0 0]
869,[0 0 0 1]
870,[0 1 0 0]
871,[1 0 0 0]
872,[0 1 0 0]
873,[0 1 1 0]
874,[0 1 0 0]
875,[0 1 0 0]
876,[0 0 0 1]
877,[0 0 0 1]
878,[0 0 0 1]
879,[0 0 0 1]
880,[0 0 0 1]
881,[1 0 0 0]
882,[0 0 0 1]
883,[0 0 0 1]
884,[0 0 0 1]
885,[1 0 0 0]
886,[0 0 0 1]
887,[0 0 0 1]
888,[0 0 0 1]
889,[0 0 0 1]
890,[0 0 0 1]
891,[0 0 0 1]
892,[0 0 1 0]
893,[1 0 0 0]
894,[0 0 0 1]
895,[0 0 0 1]
896,[0 0 0 1]
897,[0 0 0 1]
898,[0 0 0 1]
899,[0 0 0 1]
900,[0 0 0 1]
901,[0 0 0 1]
902,[0 0 0 1]
903,[0 0 0 1]
904,[0 0 1 0]
905,[0 0 0 1]
906,[0 0 0 1]
907,[0 0 0 1]
908,[0 0 0 1]
909,[0 0 0 1]
910,[0 0 0 1]
911,[0 0 0 1]
912,[0 0 0 1]
913,[0 0 0 1]
914,[1 0 0 0]
915,[0 0 0 0]
916,[0 0 0 1]
917,[0 0 0 1]
918,[1 0 0 1]
919,[1 0 0 0]
920,[1 0 0 0]
921,[0 0 0 0]
922,[0 0 0 1]
923,[1 0 0 0]
924,[1 0 0 0]
925,[1 0 0 0]
926,[1 0 0 0]
927,[1 0 0 0]
928,[0 0 0 1]
929,[1 1 0 0]
930,[1 0 0 0]
931,[1 0 0 0]
932,[0 0 0 0]
933,[1 0 0 0]
934,[0 0 0 1]
935,[0 0 0 1]
936,[0 0 0 1]
937,[0 0 0 0]
938,[0 0 0 0]
939,[0 0 0 1]
940,[0 0 0 1]
941,[0 0 0 1]
942,[0 0 0 1]
943,[0 0 0 1]
944,[1 0 0 0]
945,[1 0 0 0]
946,[0 0 0 1]
947,[0 0 0 0]
948,[1 0 0 0]
949,[0 0 0 0]
950,[0 0 0 0]
951,[1 0 0 0]
952,[1 0 0 0]
953,[1 0 0 0]
954,[0 0 0 0]
955,[0 1 0 0]
956,[1 0 0 0]
957,[1 0 0 0]
958,[0 0 0 1]
959,[1 0 0 0]
960,[1 0 0 0]
961,[1 0 0 0]
962,[1 0 0 0]
963,[0 0 0 1]
964,[1 0 0 1]
965,[1 0 0 1]
966,[1 0 0 0]
967,[0 1 0 0]
968,[0 1 0 0]
969,[1 0 0 0]
970,[0 0 0 1]
971,[1 0 0 0]
972,[1 0 0 0]
973,[1 0 0 0]
974,[1 0 0 0]
975,[0 0 0 1]
976,[0 0 0 1]
977,[0 1 0 0]
978,[1 0 0 0]
979,[0 0 1 0]
980,[1 0 0 0]
981,[0 0 0 1]
982,[1 0 0 0]
983,[1 0 0 0]
984,[0 0 0 1]
985,[0 1 0 0]
986,[0 0 0 1]
987,[1 0 0 0]
988,[1 0 0 0]
989,[0 0 0 1]
990,[0 0 0 1]
991,[0 0 0 0]
992,[0 0 0 1]
993,[0 0 0 0]
994,[1 0 0 0]
995,[1 0 0 0]
996,[1 0 0 0]
997,[1 0 0 0]
998,[1 0 0 0]
999,[1 0 0 0]
1000,[1 0 0 0]
1001,[1 0 0 0]
1002,[1 0 0 0]
1003,[0 1 0 0]
1004,[0 0 0 1]
1005,[1 0 0 0]
1006,[1 0 0 0]
1007,[0 0 0 1]
1008,[0 0 0 1]
1009,[0 0 0 0]
1010,[0 0 0 1]
1011,[1 0 0 0]
1012,[0 1 0 0]
1013,[1 1 0 0]
1014,[0 0 1 0]
1015,[0 0 0 1]
1016,[0 0 0 1]
1017,[1 0 0 0]
1018,[1 0 0 0]
1019,[1 0 0 0]
1020,[1 0 0 0]
1021,[0 0 0 1]
1022,[0 0 0 1]
1023,[0 1 0 0]
1024,[1 0 0 0]
1025,[1 0 0 0]
1026,[1 0 0 0]
1027,[1 0 0 0]
1028,[1 0 0 0]
1029,[1 0 0 0]
1030,[1 0 0 0]
1031,[0 1 0 0]
1032,[0 1 0 0]
1033,[0 1 0 0]
1034,[0 0 0 1]
1035,[0 0 0 1]
1036,[0 0 0 1]
1037,[1 0 0 0]
1038,[0 1 0 0]
1039,[0 1 0 0]
1040,[0 0 0 1]
1041,[0 1 0 0]
1042,[1 0 0 0]
1043,[1 0 0 0]
1044,[1 0 0 0]
1045,[1 0 0 0]
1046,[1 0 0 0]
1047,[0 0 0 1]
1048,[1 0 0 0]
1049,[0 0 1 1]
1050,[0 0 0 1]
1051,[0 0 0 0]
1052,[0 0 0 1]
1053,[0 0 0 1]
1054,[0 0 0 1]
1055,[0 0 0 1]
1056,[0 0 0 1]
1057,[1 0 0 0]
1058,[0 1 0 0]
1059,[1 0 0 0]
1060,[1 0 0 0]
1061,[0 0 0 1]
1062,[0 0 0 1]
1063,[0 0 0 0]
1064,[1 0 0 0]
1065,[1 1 0 0]
1066,[1 1 0 0]
1067,[1 0 0 0]
1068,[1 0 0 0]
1069,[0 0 0 0]
1070,[1 0 0 0]
1071,[0 0 0 1]
1072,[0 1 0 0]
1073,[1 0 0 0]
1074,[1 1 0 0]
1075,[1 0 0 0]
1076,[0 0 0 1]
1077,[1 0 0 0]
1078,[1 0 0 0]
1079,[0 0 0 0]
1080,[0 0 0 1]
1081,[1 0 0 0]
1082,[0 0 0 1]
1083,[1 0 0 0]
1084,[0 0 0 0]
1085,[0 0 0 1]
1086,[0 0 0 0]
1087,[0 0 0 0]
1088,[0 1 0 0]
1089,[0 1 0 0]
1090,[0 1 0 0]
1091,[0 1 0 0]
1092,[1 0 0 0]
1093,[0 0 0 0]
1094,[0 1 0 0]
1095,[0 0 0 1]
1096,[0 0 0 1]
1097,[0 1 0 0]
1098,[0 1 0 0]
1099,[0 1 0 0]
1100,[0 1 1 0]
1101,[0 1 0 0]
1102,[0 0 0 1]
1103,[0 0 0 1]
1104,[0 1 0 0]
1105,[0 0 0 1]
1106,[0 0 0 1]
1107,[0 0 0 1]
1108,[1 1 0 0]
1109,[1 0 0 0]
1110,[1 0 0 0]
1111,[0 0 0 1]
1112,[0 0 0 1]
1113,[1 0 0 0]
1114,[0 1 1 0]
1115,[0 0 0 0]
1116,[0 0 0 1]
1117,[0 0 0 1]
1118,[0 0 0 1]
1119,[0 0 0 1]
1120,[1 0 0 0]
1121,[1 0 0 0]
1122,[1 0 0 0]
1123,[0 0 0 1]
1124,[0 0 0 0]
1125,[1 1 0 0]
1126,[0 0 0 1]
1127,[1 0 0 0]
1128,[1 0 0 0]
1129,[0 0 0 1]
1130,[1 0 0 0]
1131,[0 0 0 1]
1132,[0 0 0 1]
1133,[1 0 0 0]
1134,[1 0 0 0]
1135,[0 0 0 1]
1136,[0 0 0 1]
1137,[0 0 0 1]
1138,[0 1 1 0]
1139,[0 0 0 1]
1140,[1 0 0 0]
1141,[0 0 0 0]
1142,[1 0 0 0]
1143,[0 0 0 0]
1144,[1 0 0 0]
1145,[0 0 0 0]
1146,[1 0 0 0]
1147,[1 0 0 0]
1148,[1 0 0 0]
1149,[0 1 0 0]
1150,[1 0 0 0]
1151,[1 0 0 0]
1152,[0 0 0 1]
1153,[0 0 0 0]
